,open,high,low,close,volume,value
2024-02-07 16:03:00,725.4,730.5,725.1,727.5,1083980.65637427,789470758.3647757
2024-02-07 16:04:00,727.0,735.0,726.7,732.8,944585.89757254,689605807.0638114
2024-02-07 16:05:00,732.6,739.0,731.4,734.7,1897094.60287176,1395831121.8486454
2024-02-07 16:06:00,734.9,736.1,729.3,731.4,1264266.2012377,926660726.2256736
2024-02-07 16:07:00,731.4,733.3,723.5,730.7,1456830.60070998,1060487711.900229
2024-02-07 16:08:00,730.8,736.0,730.7,736.0,850867.94317988,624075596.0046012
2024-02-07 16:09:00,736.0,738.9,729.1,733.2,1669233.48379404,1227855028.8125525
2024-02-07 16:10:00,733.1,741.4,731.0,741.4,1122529.83439541,826356746.514048
2024-02-07 16:11:00,741.4,742.2,736.1,737.7,1835654.30254685,1357064104.539108
2024-02-07 16:12:00,737.7,740.7,737.6,738.8,860721.97657927,636103574.3628045
2024-02-07 16:13:00,738.8,740.0,736.5,740.0,915516.63566181,675711362.9175128
2024-02-07 16:14:00,740.0,740.8,737.9,738.1,1084476.71937811,802167798.8252529
2024-02-07 16:15:00,738.4,738.8,730.7,731.0,1475923.46530107,1084557756.2370303
2024-02-07 16:16:00,731.0,734.0,727.0,728.1,1195837.98801535,873209743.6631392
2024-02-07 16:17:00,728.1,732.4,727.0,731.9,902362.88544957,658437818.9030064
2024-02-07 16:18:00,731.9,732.0,730.8,731.3,678833.0907379,496585163.99332666
2024-02-07 16:19:00,730.8,730.8,727.0,730.7,832299.17279629,606740142.4060973
2024-02-07 16:20:00,730.7,738.8,730.4,734.3,793331.80981192,582663989.9903096
2024-02-07 16:21:00,734.3,735.8,732.5,732.6,626668.13498019,460396328.6914954
2024-02-07 16:22:00,732.6,734.6,727.4,727.7,732814.56094334,535433149.5141378
2024-02-07 16:23:00,727.7,731.8,727.7,729.8,553300.13890975,403662531.34706885
2024-02-07 16:24:00,729.7,731.7,728.4,729.9,414693.34393439,302667581.4140681
2024-02-07 16:25:00,729.9,730.0,722.0,723.1,1499796.88948256,1089395657.4034138
2024-02-07 16:26:00,723.1,724.6,718.9,721.8,1117495.24737921,805359429.6926056
2024-02-07 16:27:00,721.7,724.0,718.5,723.6,1049627.99059797,756419271.1644322
2024-02-07 16:28:00,723.6,728.0,723.0,726.6,830494.45310526,602448275.948138
2024-02-07 16:29:00,726.7,729.2,725.9,729.1,380595.53821913,276950438.29538715
2024-02-07 16:30:00,729.1,729.7,725.9,725.9,512391.50122458,373398553.0343112
2024-02-07 16:31:00,726.5,729.5,725.8,726.4,335724.24455234,244122814.86702755
2024-02-07 16:32:00,726.4,727.7,725.8,727.3,121960.50603585,88636491.97388148
2024-02-07 16:33:00,727.5,731.0,727.5,730.0,462045.08950677,337151841.2101393
