,open,high,low,close,volume,value
2024-03-10 21:51:00,983.2,983.9,983.2,983.4,6490.28343593,6381913.38412269
2024-03-10 21:52:00,983.5,983.8,983.3,983.3,50665.40672581,49822506.37130275
2024-03-10 21:53:00,983.3,983.4,983.2,983.2,12444.27128113,12236032.52162946
2024-03-10 21:54:00,983.2,983.2,982.7,982.7,32448.69170367,31895560.4990909
2024-03-10 21:55:00,982.9,983.2,982.7,983.2,23330.69411778,22933265.21455215
2024-03-10 21:56:00,983.1,985.0,983.0,984.4,49272.72314673,48497494.99446802
2024-03-10 21:57:00,984.4,985.0,984.4,985.0,18519.96907947,18241705.80662571
2024-03-10 21:58:00,985.0,985.0,984.8,984.8,57389.6231662,56523025.87116855
2024-03-10 21:59:00,984.8,985.0,983.5,983.8,10609.64029788,10445049.45539623
2024-03-10 22:00:00,984.0,984.4,983.6,984.0,19496.82034083,19184913.36676551
2024-03-10 22:01:00,984.0,984.4,984.0,984.0,18391.88978713,18097660.18442458
2024-03-10 22:02:00,984.3,984.3,984.0,984.3,12926.4008382,12721922.18385467
2024-03-10 22:03:00,984.2,984.3,983.9,983.9,41958.52290092,41286695.95584927
2024-03-10 22:04:00,984.0,985.0,983.8,985.0,19140.52146266,18835171.51668085
2024-03-10 22:05:00,985.0,985.7,985.0,985.5,25519.00278119,25139737.22363863
2024-03-10 22:06:00,985.7,985.8,983.8,985.8,47892.07661283,47171938.21234081
2024-03-10 22:07:00,985.5,985.5,984.9,984.9,2213.99053,2181315.90931416
2024-03-10 22:08:00,984.9,985.5,984.9,985.5,4511.56308588,4443783.90049989
2024-03-10 22:09:00,985.5,985.5,985.2,985.3,6832.28327926,6733100.03056099
2024-03-10 22:10:00,985.3,985.8,985.2,985.8,17246.20574993,16992746.99257929
2024-03-10 22:11:00,985.8,985.8,985.3,985.8,5736.24097305,5652954.94138442
2024-03-10 22:12:00,985.8,986.0,985.8,986.0,29173.54168932,28764322.07031686
2024-03-10 22:13:00,986.0,987.2,986.0,987.2,28702.81954969,28311863.95942335
2024-03-10 22:14:00,987.3,989.8,987.2,989.0,49135.63992896,48570745.01423189
2024-03-10 22:15:00,989.0,989.9,989.0,989.1,38113.84107354,37702115.51858675
2024-03-10 22:16:00,989.9,990.5,989.8,990.4,49108.5554193,48628241.67270023
2024-03-10 22:17:00,990.4,990.4,989.8,989.8,25261.2912655,25012065.21541343
2024-03-10 22:18:00,989.8,990.3,989.8,990.1,23589.84737923,23354917.62181012
2024-03-10 22:19:00,990.3,990.5,989.0,989.9,51031.9878776,50525688.50927881
